	Lipopolysaccharide	RASGRF1;RASGRF2	DUSP10;DUSP1;DUSP2;DUSP4;DUSP5;DUSP6;DUSP7;DUSP8;DUSP9;DUSP16	DUSP3;PTPN7;PTPRR;PTPN5	PPM1B	FASLG	Diacylglycerol	3',5'-Cyclic AMP	D-myo-Inositol 1,4,5-trisphosphate	Calcium cation	MAP4K4	PLA2G4B;PLA2G4E;PLA2G4F;PLA2G4D;PLA2G4A;PLA2G4C;JMJD7-PLA2G4B	STMN1	MAPT	NFKB1;NFKB2;RELA;RELB	CHUK;IKBKB;IKBKG	MAP3K14	MAPK1;MAPK3	LAMTOR3	MAP2K2	MAP2K1	RAF1	BRAF	RASA1	NF1	PRKCA;PRKCB;PRKCG	RAP1A;RAP1B	PRKACA;PRKACB;PRKACG	RAPGEF2	RASA2	RRAS2;MRAS;HRAS;KRAS;NRAS;RRAS	RASGRP1;RASGRP2;RASGRP4;RASGRP3	SOS1;SOS2	GNA12;GNG12	GRB2	CSF1R;EGFR;EPHA2;ERBB2;ERBB3;ERBB4;FGFR1;FGFR3;FGFR2;FGFR4;FLT1;FLT3;FLT4;IGF1R;INSR;KDR;KIT;MET;NGFR;NTRK1;NTRK2;PDGFRA;PDGFRB;RET;TEK	CACNG3;CACNG2;CACNG5;CACNG4;CACNA2D3;CACNG8;CACNG7;CACNG6;CACNA1A;CACNA1B;CACNA1C;CACNA1D;CACNA1E;CACNA1F;CACNA1S;CACNA2D1;CACNB1;CACNB2;CACNB3;CACNB4;CACNG1;CACNA1I;CACNA1H;CACNA1G;CACNA2D2;CACNA2D4	MAPK signaling pathway - Homo sapiens (human)	Phosphatidylinositol signaling system - Homo sapiens (human)	Cell cycle - Homo sapiens (human)	Apoptosis - Homo sapiens (human)	Wnt signaling pathway - Homo sapiens (human)	p53 signaling pathway - Homo sapiens (human)	NR4A1	MAPK7	MAP2K5	NLK	CDC25B	RPS6KA4;RPS6KA5	MAPKAPK3;MAPKAPK2	ATF4	MEF2C	MAX	DDIT3	ELK4	TP53	ELK1	ATF2	MAPK14;MAPK11;MAPK13;MAPK12	PPP5C	MAP2K6	MAP2K3	DUSP10;DUSP2;DUSP4;DUSP5;DUSP7;DUSP8;DUSP9;DUSP16	PPM1A	AKT3;AKT1;AKT2	TAOK3;TAOK1;TAOK2	MAP3K4	HSPB1	MAP3K7	MAP3K5	MAP3K6	MAP3K20	MAP3K12;MAP3K13	MAP3K9;MAP3K10;MAP3K21	MAP4K2	STK3;STK4	ECSIT	TAB2	TAB1	GADD45G;GADD45A;GADD45B	TRAF6	DAXX	TRAF2	CASP3	CD14	TGFBR1;TGFBR2	FAS	IL1R1;IL1RAP	TNFRSF1A	TGFB1;TGFB2;TGFB3	IL1A;IL1B	TNF	MAPKAPK5	RAC1;RAC2;RAC3;CDC42	PAK1;PAK2	MAP3K2;MAP3K3	MAPK8IP2;MAPK8IP1	MAP3K11	MAP2K7	MAPK8;MAPK9;MAPK10	MAP2K4	CRK;CRKL	ARRB1;ARRB2	MECOM	HSPA1A;HSPA1B;HSPA1L;HSPA6;HSPA8	JUND	FOS;JUN	NFATC3	NFATC1	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	MAPK8IP3	FLNA	MAP3K1	MAP3K8	MAP4K1	MAP4K3	FOS	SRF	MYC	RPS6KA6;RPS6KA1;RPS6KA2;RPS6KA3	MKNK2;MKNK1	EFNA4-EFNA3;CSF1;EFNA1;EFNA2;EFNA3;EFNA4;EFNA5;EGF;EREG;FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;VEGFD;FLT3LG;FGF20;FGF21;GDNF;FGF22;ANGPT1;ANGPT2;HGF;IGF1;IGF2;INS;AREG;KITLG;NGF;NRTN;NTF3;NTF4;ANGPT4;PDGFA;PDGFB;PGF;PDGFC;PSPN;BDNF;TGFA;VEGFA;VEGFB;VEGFC;PDGFD;FGF23;FGF18;FGF17;FGF16;ARTN;FGF19	TRADD	MYD88	IRAK1;IRAK4	TNF signaling pathway - Homo sapiens (human)	ARAF
Lipopolysaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGRF1;RASGRF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP10;DUSP1;DUSP2;DUSP4;DUSP5;DUSP6;DUSP7;DUSP8;DUSP9;DUSP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP3;PTPN7;PTPRR;PTPN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPM1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASLG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diacylglycerol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3',5'-Cyclic AMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-myo-Inositol 1,4,5-trisphosphate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calcium cation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
