	PSENEN	PSEN1;PSEN2	NCSTN	APH1A;APH1B	BACE1;BACE2	ADAM10;ADAM17	TNF	APP	Alzheimer disease - Homo sapiens (human)	CASP9	CASP12	CASP3	CYCS	APAF1	NDUFC2-KCTD14;hsa:107984365;NDUFA11;NDUFS7;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;NDUFA1;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFA10;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFB10;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;NDUFS8;NDUFV2;NDUFV3;NDUFA13;NDUFB11;NDUFA12;NDUFA4L2	SDHA;SDHB;SDHC;SDHD	UQCR11;CYC1;UQCRQ;UQCR10;UQCRHL;CYTB;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH	ATP5PD;ATP6;ATP8;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5PB;ATP5MC1;ATP5MC2;ATP5MC3;ATP5PF;ATP5PO	COX6B2;COX4I1;COX5B;COX6A1;COX6A2;COX6B1;COX6C;COX7A1;COX7A2;COX7B;COX7C;COX8A;COX7B2;COX8C;COX1;COX2;COX3;COX4I2;COX7A2L;COX5A	RYR3	ITPR1;ITPR2;ITPR3	ATP2A1;ATP2A2;ATP2A3	CHRM1;CHRM3;CHRM5;GRM5	GNAQ	PLCB1;PLCB2;PLCB3;PLCB4	D-myo-Inositol 1,4,5-trisphosphate	GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D	CACNA1C;CACNA1D;CACNA1F;CACNA1S	Calcium cation	HSD17B10	CAPN1;CAPN2	CDK5R1	CDK5	MAPT	FAS;TNFRSF1A	FADD	CASP8	BID	MAPK1;MAPK3	Oxidative phosphorylation - Homo sapiens (human)	Apoptosis - Homo sapiens (human)	Calcium signaling pathway - Homo sapiens (human)	NOS1	Nitric oxide	Peroxynitrite	EIF2AK3	ERN1	ATF6	APOE	CALML6;CALML5;CALM1;CALM2;CALM3;CALML3;CALML4	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	BAD	IDE	MME	APBB1	LRP1	LPL	GAPDH	NAE1	CASP7	GSK3B	SNCA	IL1B	Hydrogen peroxide	Copper	Fe2+	RTN3;RTN4	TRAF2	MAP3K5	MAPK8;MAPK9;MAPK10	Protein processing in endoplasmic reticulum - Homo sapiens (human)	1-Phosphatidyl-1D-myo-inositol 3-phosphate	MTOR	ULK1;ULK2	ATG13	RB1CC1	ATG101	ATG2A;ATG2B	WIPI2;WIPI1	AMBRA1	BECN2;BECN1	PIK3R4	PIK3C3	ATG14	Autophagy - animal - Homo sapiens (human)	MAP2K7	EIF2S1	ATF4	KLC3;KIF5A;KIF5B;KIF5C;KLC1;KLC2;KLC4	TUBA1B;TUBA3E;TUBA3D;TUBA8;TUBA4A;TUBA3C;TUBA1A;TUBAL3;TUBA1C	TUBB3;TUBB4A;TUBB4B;hsa:124908013;hsa:124908015;hsa:124908041;TUBB;TUBB8B;TUBB8;TUBB2B;TUBB2A;TUBB1;TUBB6	NRBF2	CSNK1A1L;CSNK1A1	AXIN1;AXIN2	APC2;APC	CTNNB1	FRAT1;FRAT2	DVL1;DVL2;DVL3	CSNK2A1;CSNK2A2;CSNK2B;CSNK2A3	TPTEP2-CSNK1E;CSNK1E	LRP6;LRP5	FZD10;FZD2;FZD5;FZD3;FZD1;FZD4;FZD6;FZD7;FZD8;FZD9	WNT16;WNT4;WNT1;WNT2;WNT3;WNT5A;WNT6;WNT7A;WNT7B;WNT8A;WNT8B;WNT10B;WNT11;WNT2B;WNT9A;WNT9B;WNT10A;WNT5B;WNT3A	DKK1;DKK4;DKK2	AGER	HRAS;KRAS;NRAS	CYBB;NOX1;NOX4	NFKB1;RELA	IL6	IL1A;IL1B	NOS2	PTGS2	CSF1	Wnt signaling pathway - Homo sapiens (human)	Superoxide	[Protein]-N(epsilon)-(carboxymethyl)lysine;[Protein]-N(epsilon)-(carboxyethyl)lysine;[Protein]-pyrraline;[Protein]-pentosidine	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	TNFRSF1A	INS	INSR	AKT3;AKT1;AKT2	P3R3URF-PIK3R3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3	IRS1;IRS4;IRS2	Phosphatidylinositol-3,4,5-trisphosphate	Insulin signaling pathway - Homo sapiens (human)	EIF2AK2	CHUK;IKBKB;IKBKG	ARAF;RAF1;BRAF	MAP2K1;MAP2K2	MCU	PPIF;SLC25A4;SLC25A5;SLC25A6;VDAC1;VDAC2;VDAC3;SLC25A31	PPID	CHRNA7;CHRFAM7A	XBP1	PSEN1	DDIT3	Amyloid beta protein 40;Amyloid beta protein 42	Proteasome - Homo sapiens (human)	PSMA8;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7	PSMD14;ADRM1;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD2;PSMD3;PSMD4;PSMD7;PSMD8;PSMD9;PSMD11;PSMD12;PSMD13;SEM1;PSMD6	Manganese(2+)	Hg	SLC39A11;SLC39A12;SLC39A14;SLC39A6;SLC39A1;SLC39A5;SLC39A3;SLC39A2;SLC39A9;SLC39A4;SLC39A10;SLC39A8;SLC39A7;SLC39A13	Zinc cation	SLC11A2
PSENEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSEN1;PSEN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH1A;APH1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACE1;BACE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM10;ADAM17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alzheimer disease - Homo sapiens (human)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
