	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	PRNP	CASP12	RYR1;RYR2;RYR3	ITPR1;ITPR2;ITPR3	GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D	Calcium cation	Calcium signaling pathway - Homo sapiens (human)	BAD	Protein processing in endoplasmic reticulum - Homo sapiens (human)	KLC3;KIF5A;KIF5B;KIF5C;KLC1;KLC2;KLC4	TUBA1B;TUBA3E;TUBA3D;TUBA8;TUBA4A;TUBA3C;TUBA1A;TUBAL3;TUBA1C	TUBB3;TUBB4A;TUBB4B;hsa:124908013;hsa:124908015;hsa:124908041;TUBB;TUBB8B;TUBB8;TUBB2B;TUBB2A;TUBB1;TUBB6	GSK3B	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	CACNA1B;CACNA1C;CACNA1D;CACNA1F;CACNA1S	CSNK2A1;CSNK2A2;CSNK2B;CSNK2A3	TOMM40;TOMM40L	SOD1	BCL2	ALS2	RAC1	RAB5A	PINK1	NDUFC2-KCTD14;hsa:107984365;NDUFA11;NDUFS7;ND1;ND2;ND3;ND4;ND4L;ND5;ND6;NDUFA1;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFA10;NDUFAB1;NDUFB1;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFB10;NDUFC1;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS5;NDUFS6;NDUFS8;NDUFV2;NDUFV3;NDUFA13;NDUFB11;NDUFA12;NDUFA4L2	SDHA;SDHB;SDHC;SDHD	UQCR11;CYC1;UQCRQ;UQCR10;UQCRHL;CYTB;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH	COX6B2;COX4I1;COX5B;COX6A1;COX6A2;COX6B1;COX6C;COX7A1;COX7A2;COX7B;COX7C;COX8A;COX7B2;COX8C;COX1;COX2;COX3;COX4I2;COX7A2L;COX5A	ATP5PD;ATP6;ATP8;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5PB;ATP5MC1;ATP5MC2;ATP5MC3;ATP5PF;ATP5PO	Oxidative phosphorylation - Homo sapiens (human)	PRKN	Mitophagy - animal - Homo sapiens (human)	1-Phosphatidyl-1D-myo-inositol 3-phosphate	MTOR	ULK1;ULK2	ATG13	RB1CC1	ATG101	ATG2A;ATG2B	WIPI2;WIPI1	AMBRA1	BECN2;BECN1	PIK3R4	NRBF2	PIK3C3	ATG14	Autophagy - animal - Homo sapiens (human)	C9orf72	RAB1A	WDR41	SMCR8	RAB39B;RAB8A	SQSTM1	TBK1	TANK	OPTN	MAP1LC3BP1;MAP1LC3C;MAP1LC3B2;MAP1LC3B;MAP1LC3A	VDAC1	ADP	TARDBP	FIG4	CHMP2B	SPG11	MCU	MAP3K5	EIF2AK3	ERN1	ATF6	EIF2S1	ATF4	XBP1	DDIT3	HSPA5	TRAF2	HAP1	ACTR1B;ACTR1A;DCTN2;DCTN6;DCTN3;DCTN1;DCTN4;ACTR10;DCTN5	DNAL4;DNAH14;DNAH2;DNAH5;DNAH6;DNAH8;DNAH9;DNAH10;DNAH12;DNAH1;DNAI1;DNAH3;DNAH7;DNAI2;DNALI1;DNAL1;DNAH17;DNAH11	HTT	DLG4	GNAQ	GRM5	PLCB1;PLCB2;PLCB3;PLCB4;PLCG1	GRIA1;GRIA2;GRIA3;GRIA4	Sodium cation	STX1A	Glutamatergic synapse - Homo sapiens (human)	L-Glutamate	D-myo-Inositol 1,4,5-trisphosphate	HIP1	IFT57	CASP8	LRRK2	Apoptosis - Homo sapiens (human)	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	Rotenone	CYCS	HTRA2	PPIF;SLC25A4;SLC25A5;SLC25A6;VDAC1;VDAC2;VDAC3;SLC25A31	ATP	Orthophosphate	Superoxide;Hydrogen peroxide	1-Methyl-4-phenylpyridinium	CASP9	CASP3	APAF1	SLC6A3	BAX	SNCA	PARK7	BCL2L1	TRAP1	MFN1;MFN2	BDNF	MAPK8;MAPK9;MAPK10	PRKCA;PRKCB;PRKCG	Diacylglycerol	TRPC3	ATXN2L;ATXN3;ATXN2;ATXN3L	PDYN	GRM1	ATXN3;ATXN3L	Maneb	VAPB	SIGMAR1	TNF	Nitric oxide	TNFRSF1A;TNFRSF1B	DAXX	MAP2K3	MAP2K6	MAPK14;MAPK11;MAPK13;MAPK12	NEFL	NEFM	NEFH	PRPH	GPX6;GPX1;GPX2;GPX3;GPX5;GPX7;GPX8	CAT	NOS1	CCS	L-Arginine	Peroxynitrite	Superoxide	Hydrogen peroxide	Hydroxyl radical	Copper	H2O	CAPN1;CAPN2	CDK5R1	CDK5	MAPT	CASP7	CSNK1A1L;CSNK1A1	AXIN1;AXIN2	APC2;APC	CTNNB1	FRAT1;FRAT2	DVL1;DVL2;DVL3	TPTEP2-CSNK1E;CSNK1E	LRP6;LRP5	FZD10;FZD2;FZD5;FZD3;FZD1;FZD4;FZD6;FZD7;FZD8;FZD9	WNT16;WNT4;WNT1;WNT2;WNT3;WNT5A;WNT6;WNT7A;WNT7B;WNT8A;WNT8B;WNT10B;WNT11;WNT2B;WNT9A;WNT9B;WNT10A;WNT5B;WNT3A	DKK1;DKK4;DKK2	Wnt signaling pathway - Homo sapiens (human)	AGER	HRAS;KRAS;NRAS	CYBB;NOX1;NOX4	NFKB1;RELA	IL6	IL1A;IL1B	NOS2	PTGS2	CSF1	[Protein]-N(epsilon)-(carboxymethyl)lysine;[Protein]-N(epsilon)-(carboxyethyl)lysine;[Protein]-pyrraline;[Protein]-pentosidine	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	ARAF;RAF1;BRAF	MAP2K1;MAP2K2	MAPK1;MAPK3	Amyloid beta protein 40;Amyloid beta protein 42	PSEN1	ATP2A1;ATP2A2;ATP2A3	PSEN1;PSEN2	HSD17B10	PPID	SPTBN2	CALML6;CALML5;CALM1;CALM2;CALM3;CALML3;CALML4	CAMK2A;CAMK2B;CAMK2D;CAMK2G	CHRNA7;CHRFAM7A	MAP3K10	MAP2K7	Lysosome - Homo sapiens (human)	AMP	Diphosphate	RPS27A;UBA52;UBB;UBC	UCHL1	Ubiquitin mediated proteolysis - Homo sapiens (human)	Proteasome - Homo sapiens (human)	PSMA8;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7	PSMD14;ADRM1;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD2;PSMD3;PSMD4;PSMD7;PSMD8;PSMD9;PSMD11;PSMD12;PSMD13;SEM1;PSMD6	UBA1;UBA7	UBE2L3;UBE2L6	SNCAIP	SEPTIN5	GPR37	VCP	DERL1	APP	ATXN1L;ATXN1	ATXN2L;ATXN2	FUS	Protein	Peptide	UBE2J2;UBE2J1;UBE2G1;UBE2G2	ZFYVE1	CHRM1;CHRM3;CHRM5	Acetylcholine	FAS	FADD	BID	BAK1	FASLG
Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRNP	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RYR1;RYR2;RYR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPR1;ITPR2;ITPR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calcium cation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calcium signaling pathway - Homo sapiens (human)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein processing in endoplasmic reticulum - Homo sapiens (human)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
